topic,term,beta
3,detail,4.264004821902088e-4
4,detail,1.1388414224018833e-4
5,detail,4.217923420606921e-4
6,detail,2.800710436500453e-4
7,detail,5.321111833168913e-4
8,detail,4.782815366783215e-4
9,detail,4.795815261762658e-4
10,detail,2.0235603798335154e-4
1,detect,5.114393555379932e-5
2,detect,7.55435533446489e-5
3,detect,1.728243362570081e-4
4,detect,1.1367631542833153e-4
5,detect,6.946394024985808e-5
6,detect,2.4639383604402804e-8
7,detect,7.396221404846533e-5
8,detect,1.822205735165843e-8
9,detect,2.5962039409338005e-258
10,detect,4.3421358562905934e-135
1,determin,2.1908447243802192e-4
2,determin,0.0010575273895214404
3,determin,5.845118354292102e-4
4,determin,4.841005574464824e-4
5,determin,8.76681485686831e-4
6,determin,8.099572927568568e-4
7,determin,0.0015331980008155127
8,determin,0.0012078547427107472
9,determin,0.0017372550061572247
10,determin,0.001033593832658382
1,deterr,2.8858037031654384e-14
2,deterr,2.213544359205274e-5
3,deterr,4.501847372342851e-5
4,deterr,2.718518739441922e-33
5,deterr,1.6359087391399276e-4
6,deterr,3.163357440023165e-4
7,deterr,8.3727909680027255e-19
8,deterr,3.4108549719395903e-12
9,deterr,4.0686913323595436e-4
10,deterr,1.9044437605714355e-4
1,develop,0.0035754218646087787
2,develop,0.0016142983662697835
3,develop,0.001984268038933681
4,develop,0.0011834596079173317
5,develop,0.001599068807267692
6,develop,0.007224265177391639
7,develop,0.002888900386213588
8,develop,0.0018992198686832822
9,develop,0.002356678906856074
10,develop,0.008784280675466825
1,deviat,8.363048399585037e-18
2,deviat,2.213544361212862e-5
3,deviat,5.55079467630239e-296
4,deviat,2.93789565e-316
5,deviat,1.713264053165e-312
6,deviat,4e-323
7,deviat,6.282376e-318
8,deviat,1.470783010306e-312
9,deviat,5.3964392e-315
10,deviat,5.879615012202366e-307
1,devolv,1.3693598103666906e-6
2,devolv,8.001265452791039e-5
3,devolv,2.210011268070904e-5
4,devolv,2.960594154670589e-218
5,devolv,1.835746820680886e-293
6,devolv,4.424869845008516e-28
7,devolv,3.9402356863918905e-43
8,devolv,5.348238672595334e-5
9,devolv,1.538281557036795e-9
10,devolv,6.12484415896183e-266
1,devot,2.3136577444811561e-4
2,devot,1.653589278553556e-4
3,devot,1.3921946998416218e-4
4,devot,1.0750512852285282e-4
5,devot,1.4520147774211293e-4
6,devot,2.9654470010801956e-4
7,devot,2.2823075534012533e-4
8,devot,7.326545793681413e-4
9,devot,5.33598482169692e-4
10,devot,1.1406954115697631e-4
1,dictatorship,1.233792800467154e-16
2,dictatorship,2.213544361204856e-5
3,dictatorship,2.0110307998494744e-215
4,dictatorship,3.7712402601918025e-5
5,dictatorship,1.462049055377242e-4
6,dictatorship,1.4426299601758992e-7
7,dictatorship,8.87129972209047e-25
8,dictatorship,3.59818446627402e-4
9,dictatorship,2.4163436006116766e-4
10,dictatorship,4.908820579114101e-5
1,differ,0.0015789409785959187
2,differ,0.0015047669585227196
3,differ,0.0012785706772365398
4,differ,0.0016351150703449722
5,differ,0.0010908579744712506
6,differ,8.766286632153169e-4
7,differ,9.510514346326755e-4
8,differ,7.477005327062458e-4
9,differ,0.0010049893945270356
10,differ,2.857930981842269e-4
1,difficult,0.001089500881271153
2,difficult,3.181402155443554e-4
3,difficult,6.416708598881684e-4
4,difficult,4.410211535099238e-4
5,difficult,2.8106302035951053e-4
6,difficult,4.2672130818872527e-4
7,difficult,2.807749803333487e-4
8,difficult,5.737308649186811e-4
9,difficult,6.238290660483224e-4
10,difficult,7.516741129141118e-4
1,difficulti,3.427223558277032e-4
2,difficulti,4.643602399271501e-4
3,difficulti,5.54170153282829e-4
4,difficulti,1.2481134730106888e-4
5,difficulti,9.862850217468064e-8
6,difficulti,1.4822349504119427e-4
7,difficulti,0.0012517703760063408
8,difficulti,5.823125113995152e-4
9,difficulti,6.3365086946661e-4
10,difficulti,1.2997255021876368e-4
1,digniti,8.100511878839338e-5
2,digniti,1.602688633685302e-4
3,digniti,1.344147224321501e-4
4,digniti,1.338823945812471e-4
5,digniti,3.110445444262444e-4
6,digniti,4.4666930635263224e-4
7,digniti,2.7212535795136987e-5
8,digniti,8.970899040825178e-5
9,digniti,3.714210810380369e-4
10,digniti,3.3247901994275104e-5
1,dilig,1.712807680277437e-16
2,dilig,9.271641010867495e-5
3,dilig,6.13287547796807e-244
4,dilig,3.755320787091105e-289
5,dilig,4.667510024624474e-284
6,dilig,9.013820741286882e-12
7,dilig,2.5364430438115626e-180
8,dilig,7.121347882489594e-5
9,dilig,8.430976167796204e-268
10,dilig,2.4417631740971286e-5
1,diminish,3.297638167759449e-4
2,diminish,9.170450850308509e-5
3,diminish,1.0707414926844125e-4
4,diminish,1.2730091087973252e-9
5,diminish,6.891231454080708e-5
6,diminish,2.8070849445351395e-10
7,diminish,3.90623756215481e-4
8,diminish,3.515290192472859e-12
9,diminish,7.491825984168746e-5
10,diminish,4.883516043926301e-5
1,diminut,1.2205709228311672e-4
2,diminut,4.691307801191694e-5
3,diminut,9.101589284805914e-5
4,diminut,1.0293970409452658e-78
5,diminut,2.784096008504554e-80
6,diminut,2.3772293172744848e-5
7,diminut,9.899690203030798e-12
8,diminut,1.4284581007666734e-5
9,diminut,3.8326277933475366e-5
10,diminut,1.3680552096368604e-13
1,diplomaci,4.173272831791491e-5
2,diplomaci,4.453136505092603e-4
3,diplomaci,1.1656627101887904e-239
4,diplomaci,2.3889539015367115e-4
5,diplomaci,5.825971754162218e-5
6,diplomaci,4.666518999528636e-5
7,diplomaci,1.9952121245813838e-9
8,diplomaci,1.0982964704201173e-4
9,diplomaci,1.4105762976859812e-5
10,diplomaci,6.010183492758626e-5
1,diplomat,2.713896515921366e-4
2,diplomat,0.0010285544398249784
3,diplomat,5.431178251243957e-9
4,diplomat,9.005376689734436e-6
5,diplomat,8.554105136267426e-5
6,diplomat,1.9922399940957452e-4
7,diplomat,3.8501621896393486e-8
8,diplomat,4.9663352478941565e-5
9,diplomat,1.4912180343048174e-5
10,diplomat,1.2151385911238185e-4
1,direct,0.0016078266381193084
2,direct,0.002530888617100925
3,direct,0.0015083035837367216
4,direct,6.117448339858601e-4
5,direct,0.0010888533852621513
6,direct,0.0015880829925123757
7,direct,0.002894833584724623
8,direct,0.0011125909606030957
9,direct,0.0011021703734808807
10,direct,0.0016188157963791714
1,director,2.8910973597377098e-8
2,director,2.529622895074757e-4
3,director,2.0037318590669604e-4
4,director,6.189546523047522e-7
5,director,2.7388682774321776e-6
6,director,3.34026360217873e-5
7,director,2.1166380291870725e-4
8,director,1.5301299416858174e-8
9,director,1.4041428612771716e-5
10,director,4.18580134577332e-5
1,disappoint,6.24288807688345e-5
2,disappoint,5.751447662535446e-5
3,disappoint,1.476273050996565e-24
4,disappoint,5.627208394433447e-17
5,disappoint,2.869371040042712e-4
6,disappoint,8.406262787814151e-5
7,disappoint,1.3895534575888683e-22
8,disappoint,5.895446736165277e-5
9,disappoint,6.775364310587822e-5
10,disappoint,1.6182612716858626e-9
1,disast,5.1515373557645e-4
2,disast,6.244142495877592e-7
3,disast,3.8079660877586824e-4
4,disast,2.2490606953902905e-4
5,disast,2.91943291096099e-5
6,disast,7.896615323636092e-4
7,disast,3.099237978147403e-4
8,disast,3.1154146362986364e-4
9,disast,1.711768983750414e-4
10,disast,5.448323399370868e-5
1,disburs,1.0941542493069356e-4
2,disburs,3.1623790982287115e-4
3,disburs,2.0308470820223215e-265
4,disburs,1.802129914492603e-277
5,disburs,2.79014771095301e-243
6,disburs,2.529052732340345e-14
7,disburs,2.854061579701927e-5
8,disburs,9.520318211472445e-12
9,disburs,4.9566193151668355e-22
10,disburs,4.8835289316730406e-5
1,discern,1.0668010021773711e-16
2,discern,2.21354436120602e-5
3,discern,6.967664604058835e-295
4,discern,7.1240566e-317
5,discern,3.3853638130735e-311
6,discern,1.63e-322
7,discern,3.7563485e-317
8,discern,2.3911243273314e-311
9,discern,3.7431169467e-314
10,discern,4.343060328941829e-306
1,discharg,1.1005466426315365e-4
2,discharg,3.006013475604081e-4
3,discharg,1.927949529540994e-4
4,discharg,6.1992000961636305e-19
5,discharg,1.417275077941571e-16
6,discharg,3.2495129590393215e-13
7,discharg,4.120933472364996e-4
8,discharg,5.854093421983792e-5
9,discharg,1.7040741308348096e-4
10,discharg,2.985774394723733e-183
1,disciplin,1.0850831448814401e-4
2,disciplin,1.6328147934131616e-4
3,disciplin,3.579653546014307e-23
4,disciplin,4.3524657219676005e-4
5,disciplin,3.0458323585777844e-4
6,disciplin,2.2981585725385953e-4
7,disciplin,8.300243921334146e-8
8,disciplin,1.8953184448824956e-4
9,disciplin,5.2457737924098985e-5
10,disciplin,2.2862024528701256e-11
1,disclaim,9.269198840234138e-14
2,disclaim,4.4270887159766515e-5
3,disclaim,2.2509236861714254e-5
4,disclaim,3.3434776219423134e-292
5,disclaim,2.86091231623829e-290
6,disclaim,2.8446441440089634e-10
7,disclaim,1.711362012973574e-7
8,disclaim,5.054304937780353e-230
9,disclaim,3.0668098401683596e-5
10,disclaim,3.0585428429713342e-283
1,discrep,2.8204816194213292e-14
2,discrep,4.4270887204641765e-5
3,discrep,5.092684719559194e-294
4,discrep,4.8242287053e-313
5,discrep,3.882262133269597e-309
6,discrep,1.9642e-319
7,discrep,9.005328472e-314
8,discrep,1.14541889555789e-309
9,discrep,1.94034867746e-313
10,discrep,2.1608829066124798e-299
1,discrimin,1.9890086345131965e-4
2,discrimin,4.652808165609004e-4
3,discrimin,4.392431551949774e-4
4,discrimin,4.530480841679342e-4
5,discrimin,2.9983689677858964e-4
6,discrimin,4.911522260867509e-4
7,discrimin,1.6490498628322192e-8
8,discrimin,7.194108093385305e-5
9,discrimin,3.2908700547001576e-4
10,discrimin,5.697690538672284e-4
1,discriminatori,7.55171764447313e-14
2,discriminatori,1.770577925199022e-4
3,discriminatori,5.727886127861455e-279
4,discriminatori,1.0138695858304261e-56
5,discriminatori,1.6054429742584164e-8
6,discriminatori,1.9104940084995324e-4
7,discriminatori,3.980340378135796e-5
8,discriminatori,5.9075970756690765e-24
9,discriminatori,1.0356751177108792e-11
10,discriminatori,2.5619812234458978e-8
1,discuss,6.682925205083825e-4
2,discuss,8.71330257413482e-4
3,discuss,2.781677435079189e-4
4,discuss,2.892892063633068e-4
5,discuss,3.0865490118056664e-4
6,discuss,5.517275072306971e-4
7,discuss,2.9822127837864684e-4
8,discuss,9.85744813538453e-4
9,discuss,7.508115513226227e-4
10,discuss,2.125103748150001e-5
1,diseas,4.340684784255967e-7
2,diseas,3.01690494544674e-4
3,diseas,2.6850573412198514e-4
4,diseas,4.974667332095344e-4
5,diseas,3.5720905265069325e-4
6,diseas,5.119634286081982e-4
7,diseas,1.698721197732665e-4
8,diseas,4.494534911924185e-6
9,diseas,1.9792607958588429e-4
10,diseas,1.692071941864784e-4
1,dishearten,5.2581953026364765e-5
2,dishearten,1.5063472962921326e-5
3,dishearten,2.4323804492763733e-9
4,dishearten,1.4470228555729904e-278
5,dishearten,6.519136060724247e-245
6,dishearten,2.9046735461263556e-20
7,dishearten,2.4791716483479463e-6
8,dishearten,2.1846667914757147e-5
9,dishearten,3.090466104257981e-5
10,dishearten,3.117161896271043e-284
1,dismember,1.8395719420586553e-18
2,dismember,2.213544361213314e-5
3,dismember,2.586552598216224e-295
4,dismember,8.9436674e-316
5,dismember,1.053187179601e-311
6,dismember,8e-323
7,dismember,2.059923e-318
8,dismember,7.61349677144e-312
9,dismember,2.529086157e-315
10,dismember,2.451733365113083e-307
1,disord,2.669292684649598e-5
2,disord,1.393157091925457e-4
3,disord,1.8005053097192386e-4
4,disord,7.901574521689021e-33
5,disord,1.520638478357726e-4
6,disord,1.8591894627196007e-4
7,disord,1.9520941286285565e-4
8,disord,2.9557751201803875e-4
9,disord,1.0997078243505767e-4
10,disord,4.6056423814500337e-7
1,dispatch,3.245163511290094e-5
2,dispatch,3.931591025861687e-4
3,dispatch,1.0156948642195784e-4
4,dispatch,7.314711301014605e-5
5,dispatch,2.429502358227145e-190
6,dispatch,1.2946878613140326e-15
7,dispatch,6.062998255335598e-5
8,dispatch,4.1538740514625513e-29
9,dispatch,3.33955520650275e-12
10,dispatch,1.1228042111952703e-164
1,display,1.4357177133473683e-4
2,display,1.3031280706823445e-4
3,display,3.733273775575773e-5
4,display,3.6573558316690145e-5
5,display,1.1427162356782452e-215
6,display,3.4404252193718944e-12
7,display,4.0735922761075736e-5
8,display,2.0984431787986714e-4
9,display,1.4788366748631136e-4
10,display,2.4417642976161863e-5
1,dispos,8.570894272387678e-4
2,dispos,5.241086482443007e-4
3,dispos,1.1824148257453197e-4
4,dispos,3.979452873093242e-5
5,dispos,5.6267336136436246e-5
6,dispos,1.5440524123692224e-4
7,dispos,6.720394463552081e-4
8,dispos,1.347326523469208e-4
9,dispos,7.506571192843173e-5
10,dispos,3.317304940444975e-4
1,disposit,2.958202107829914e-4
2,disposit,4.547056116467137e-4
3,disposit,6.853828288144537e-5
4,disposit,5.980966181878067e-78
5,disposit,6.060377605975234e-78
6,disposit,1.3167141435783068e-5
7,disposit,7.483322320335659e-5
8,disposit,1.193967481532679e-10
9,disposit,7.941096293628495e-33
10,disposit,3.46652217094836e-12
1,disput,7.124043235361348e-7
2,disput,6.782247442405201e-4
3,disput,5.05313872309115e-4
4,disput,1.0706852891408579e-38
5,disput,7.348076671608293e-11
6,disput,7.483611848382933e-5
7,disput,6.674558266411745e-4
8,disput,6.796732755549135e-4
9,disput,1.9172987354389552e-4
10,disput,2.737532874066207e-4
1,disregard,9.283979381981902e-5
2,disregard,3.261132093660123e-5
3,disregard,4.2158511002582134e-4
4,disregard,5.3229008430584416e-216
5,disregard,8.571319395084285e-286
6,disregard,1.3018334182582933e-13
7,disregard,9.03000929691314e-5
8,disregard,9.326238379183305e-5
9,disregard,1.0743386120523156e-4
10,disregard,2.441764455714689e-5
1,dissatisfi,4.887485441217152e-17
2,dissatisfi,2.2135443612100427e-5
3,dissatisfi,1.70972167868191e-287
4,dissatisfi,2.7069414942127416e-286
5,dissatisfi,6.200395798883792e-11
6,dissatisfi,1.7022640851104484e-5
7,dissatisfi,7.859855517824544e-91
8,dissatisfi,1.1407381948248432e-296
9,dissatisfi,2.348477706442728e-269
10,dissatisfi,2.1322835508374313e-268
1,dissemin,6.130793598049736e-5
2,dissemin,4.5555631359531374e-5
3,dissemin,2.4200644254712393e-5
4,dissemin,6.338480192029334e-145
5,dissemin,6.032739843321306e-53
6,dissemin,1.9603480567957527e-5
7,dissemin,2.2203449139215224e-5
8,dissemin,4.8065227663276976e-33
9,dissemin,1.4048091157767695e-260
10,dissemin,4.3876111190678665e-5
1,dissens,1.5247496186808895e-12
2,dissens,6.64063244182763e-5
3,dissens,5.447550007949288e-12
4,dissens,1.0590714119426128e-160
5,dissens,7.507774552376287e-75
6,dissens,9.35989345152034e-96
7,dissens,9.45322834956441e-30
8,dissens,2.640992642880952e-5
9,dissens,1.337624844851387e-4
10,dissens,4.355203251252911e-263
1,dissolut,4.257986991442156e-5
2,dissolut,2.3599472912553526e-4
3,dissolut,1.8784436591622715e-10
4,dissolut,2.9562765601224682e-5
5,dissolut,4.3788848728286234e-5
6,dissolut,2.513702863661838e-297
7,dissolut,4.250522560608853e-296
8,dissolut,1.695921589014765e-238
9,dissolut,6.675791829237876e-293
10,dissolut,1.2957798933268095e-290
1,distant,9.87029929339887e-5
2,distant,5.56578302686141e-5
3,distant,6.464690957879706e-5
4,distant,1.7221975234860388e-10
5,distant,1.9903465906804317e-4
6,distant,9.200407258391908e-7
7,distant,6.387347369759184e-5
8,distant,1.2028267829042345e-4
9,distant,3.1266805202083707e-4
10,distant,1.2239364227900891e-4
1,distinct,1.9001312753046847e-4
2,distinct,1.967177781923653e-4
3,distinct,1.590705548011852e-4
4,distinct,2.8333641785069254e-186
5,distinct,1.4662632705385877e-232
6,distinct,2.058674516137249e-14
7,distinct,1.0884840970854224e-4
8,distinct,1.656943305278329e-4
9,distinct,9.75351593070756e-28
10,distinct,4.883528932377225e-5
1,distinguish,1.0311214617412302e-8
2,distinguish,2.0890135083830185e-4
3,distinguish,7.417935813147396e-5
4,distinguish,2.0136669218322626e-4
5,distinguish,8.691899358158583e-4
6,distinguish,1.8110109886271212e-4
7,distinguish,1.530574878633722e-4
8,distinguish,1.1135897418590004e-4
9,distinguish,4.27685679149933e-7
10,distinguish,1.9294246351099895e-5
1,distribut,6.315129209306712e-4
2,distribut,4.3830724490894266e-4
3,distribut,3.191088409628975e-4
4,distribut,2.7658023279605776e-22
5,distribut,3.1809135002704254e-13
6,distribut,0.00037900678025299084
7,distribut,7.783842590696854e-4
8,distribut,5.434835798478026e-4
9,distribut,7.716434989150755e-5
10,distribut,4.5013947186748154e-5
1,district,4.338854769288134e-4
2,district,0.001729213169240812
3,district,0.0013243464289670402
4,district,4.4238712048617733e-4
5,district,1.4763261921458794e-7
6,district,8.194558245784194e-4
7,district,5.752194460200451e-4
8,district,3.008759905241709e-8
9,district,1.8602901031756727e-4
10,district,3.778152286347165e-4
1,distrust,2.042155930234103e-6
2,distrust,2.256410734057016e-5
3,distrust,8.815595546605316e-5
4,distrust,1.576288163965164e-96
5,distrust,1.1266005804013356e-40
6,distrust,5.12291945842448e-21
7,distrust,9.603884318555774e-19
8,distrust,2.3588368739685324e-4
9,distrust,6.54056143917655e-17
10,distrust,1.0420010481342068e-288
1,disturb,1.704499075535867e-5
2,disturb,6.298362124228745e-4
3,disturb,4.5176551414110065e-4
4,disturb,3.7004979878275024e-5
5,disturb,2.077183036644182e-22
6,disturb,1.100530119868192e-4
7,disturb,1.7774928240073235e-4
8,disturb,5.306976698121695e-4
9,disturb,1.644953874649729e-4
10,disturb,4.172078964326893e-5
1,diverg,2.1312032297919436e-7
2,diverg,3.388517015066152e-5
3,diverg,3.177881559686791e-5
4,diverg,1.6922596870054056e-147
5,diverg,3.6745161386093266e-5
6,diverg,3.2486946767656087e-295
7,diverg,6.83518337587889e-5
8,diverg,4.134354668016475e-9
9,diverg,1.832295087016284e-289
10,diverg,1.0016584062642957e-285
1,divers,1.431948873971469e-7
2,divers,7.584596469178073e-5
3,divers,8.797578060141396e-5
4,divers,3.820710251242949e-4
5,divers,7.533525758687462e-5
6,divers,2.2681866190185163e-4
7,divers,6.676191052576718e-5
8,divers,3.9860271873012e-6
9,divers,1.0896276499286965e-4
10,divers,4.696119646417402e-4
1,diversifi,8.031617425201793e-5
2,diversifi,6.171674307286685e-5
3,diversifi,5.371128412347682e-5
4,diversifi,1.769984444441584e-278
5,diversifi,1.191951142015664e-13
6,diversifi,2.5404408515042482e-5
7,diversifi,6.292477378964076e-5
8,diversifi,2.154078555915086e-82
9,diversifi,1.179842681259509e-11
10,diversifi,3.056840373701698e-158
1,divert,3.8059743012776626e-5
2,divert,1.80040130340827e-5
3,divert,2.399213264047289e-16
4,divert,1.6138268441243505e-30
5,divert,7.180001936215149e-18
6,divert,1.1599226339422992e-5
7,divert,2.5129157450745678e-5
8,divert,4.421701859558575e-5
9,divert,3.547097022645604e-4
10,divert,1.4283373072480698e-5
1,divis,4.336571268866211e-4
2,divis,6.672491261881247e-4
3,divis,3.2679357136103615e-4
4,divis,1.6115767420198115e-4
5,divis,1.1518141173503447e-4
6,divis,5.868416257679565e-5
7,divis,1.997884016667951e-4
8,divis,1.9967894874127346e-4
9,divis,5.452324215022975e-4
10,divis,1.912634833600961e-6
1,doctrin,0.001239053044812672
2,doctrin,1.4714655110679864e-10
3,doctrin,3.340345793696535e-4
4,doctrin,1.0097745569219038e-4
5,doctrin,1.6538911036464164e-5
6,doctrin,9.434904400822278e-7
7,doctrin,8.708409308907073e-20
8,doctrin,1.2492378126127506e-4
9,doctrin,1.785788342229207e-4
10,doctrin,2.1939735420333666e-4
1,dollar,7.052928006595419e-8
2,dollar,5.681968712782852e-4
3,dollar,5.21846575075119e-4
4,dollar,7.558669947657548e-4
5,dollar,0.0013700154227249382
6,dollar,0.0015296858662001184
7,dollar,0.00593551421443182
8,dollar,7.333191394145425e-4
9,dollar,0.001026801182346245
10,dollar,7.45953341745012e-4
1,domest,0.0012198638715843165
2,domest,2.3158655994483246e-4
3,domest,2.4415466171548586e-6
4,domest,2.8299355688200356e-4
5,domest,5.288447098990966e-4
6,domest,0.001726658310519381
7,domest,6.648563917303593e-4
8,domest,0.0011416552843527712
9,domest,1.0363697045812956e-7
10,domest,0.0013869632385163267
1,domin,2.635174070954577e-5
2,domin,6.622372086877736e-5
3,domin,6.049147904553951e-5
4,domin,1.2908988953622845e-19
5,domin,1.0889684099010562e-4
6,domin,5.767155962165199e-5
7,domin,1.668306679066632e-4
8,domin,5.108151846451237e-4
9,domin,9.647708890665306e-4
10,domin,1.3391401030424816e-4
1,dominican,1.156169748098905e-4
2,dominican,2.911792621606017e-4
3,dominican,4.746755568457221e-6
4,dominican,8.023261794902305e-5
5,dominican,7.756161522534445e-213
6,dominican,1.3722945720066324e-5
7,dominican,8.545344729905082e-33
8,dominican,4.311836396738693e-9
9,dominican,1.0548629268615337e-11
10,dominican,1.3275888279529403e-222
1,dominion,2.972265246887188e-5
2,dominion,2.1845756930848767e-4
3,dominion,1.2708684449768202e-242
4,dominion,1.0370865475714516e-177
5,dominion,3.083737069487535e-65
6,dominion,5.8180143338282445e-18
7,dominion,1.1128258754500166e-5
8,dominion,1.311244337330068e-4
9,dominion,7.307393297716136e-5
10,dominion,8.669616977400197e-282
1,done,0.002276598368494871
2,done,8.691515672596959e-4
3,done,0.0022971134281409475
4,done,0.0012345791924615506
5,done,0.0011677851505520252
6,done,7.596906055414668e-4
7,done,1.8607827268610767e-4
8,done,0.0018836083777317532
9,done,0.0010737866477850623
10,done,3.9034040811706806e-4
1,door,3.1704805758645243e-4
2,door,2.9057108389616926e-5
3,door,1.9027047909769416e-5
4,door,3.519668483867706e-4
5,door,7.041016496138628e-4
6,door,1.0343473803769891e-4
7,door,7.143260722213031e-5
8,door,2.3859549555527602e-4
9,door,3.109590319377192e-7
10,door,4.2637753851944104e-5
1,doubli,4.2892671465399106e-5
2,doubli,1.6646152960300614e-5
3,doubli,4.2447470714426735e-5
4,doubli,2.7173917980304886e-290
5,doubli,8.246919214650357e-296
6,doubli,4.855257600634681e-306
7,doubli,4.4697624984655775e-276
8,doubli,3.985557849280212e-5
9,doubli,5.979212096148213e-277
10,doubli,6.06466832058148e-293
1,doubt,3.967321716643247e-4
2,doubt,5.043837069060061e-4
3,doubt,3.097725409163392e-4
4,doubt,1.3954595891772027e-4
5,doubt,3.9324637979373794e-4
6,doubt,1.82884145016905e-4
7,doubt,2.714093268702796e-4
8,doubt,8.123432217825608e-4
9,doubt,1.6413987594813133e-4
10,doubt,1.1308405209619075e-4
1,doubtless,3.8346405634619774e-5
2,doubtless,1.9411230920075734e-4
3,doubtless,1.7525787883869266e-4
4,doubtless,3.633630087123687e-217
5,doubtless,3.225558714373456e-5
6,doubtless,8.6189069231048755e-25
7,doubtless,3.046425825880824e-5
8,doubtless,6.683966541732054e-8
9,doubtless,1.5003642080151425e-223
10,doubtless,7.464928616510787e-264
1,dowag,3.7255545962443035e-5
2,dowag,6.261644670448377e-5
3,dowag,3.5012490912906916e-20
4,dowag,2.9523287138384e-310
5,dowag,2.6438102262072322e-306
6,dowag,3.8538227e-317
7,dowag,4.506498040338395e-189
8,dowag,3.1904938489955316e-26
9,dowag,9.89552429315177e-310
10,dowag,7.452593508542007e-303
1,drastic,3.872580878734694e-7
2,drastic,8.962294766743612e-5
3,drastic,1.5573563597162692e-4
4,drastic,3.6599216531144794e-5
5,drastic,4.0037724220614526e-5
6,drastic,4.537050502411951e-5
7,drastic,3.003680805871579e-4
8,drastic,2.3034151484893647e-4
9,drastic,1.4327473005044811e-9
10,drastic,2.5213506054431782e-23
1,drawback,2.282045884516196e-17
2,drawback,2.2135443612118553e-5
3,drawback,2.882982367073892e-295
4,drawback,4.39251597e-316
5,drawback,6.4544575634e-313
6,drawback,5e-323
7,drawback,3.86044e-318
8,drawback,6.11894624286e-312
9,drawback,4.513399827e-315
10,drawback,5.0567258948331965e-307
1,due,8.159213748688526e-4
2,due,0.001256899123950124
3,due,9.808164361197727e-4
4,due,1.0984243290115493e-4
5,due,7.614302168695528e-5
6,due,1.7535384857913886e-6
7,due,0.0010968652433761398
8,due,1.7916871814740437e-10
9,due,1.9428949984503005e-4
10,due,3.314608209953186e-4
1,dug,4.262587117596765e-9
2,dug,2.3157542646252845e-5
3,dug,2.146686167805325e-5
4,dug,2.05850542766595e-309
5,dug,6.982594434696763e-306
6,dug,1.0624194e-316
7,dug,7.700000458678707e-52
8,dug,1.3381325443922048e-246
9,dug,3.057274522912534e-309
10,dug,1.9668195907474855e-301
1,durabl,1.3627363958556161e-18
2,durabl,4.869391183417198e-5
3,durabl,5.422830022042219e-220
4,durabl,5.124274795775813e-7
5,durabl,7.784169989880173e-5
6,durabl,2.0631655309620776e-5
7,durabl,1.0077699582793639e-4
8,durabl,2.888786179469714e-18
9,durabl,3.3865390796274786e-4
10,durabl,2.452950997192681e-15
1,dutch,1.3990249000158679e-5
2,dutch,4.187251549585192e-5
3,dutch,1.5048197611142989e-5
4,dutch,2.1434961775063544e-185
5,dutch,1.7406389171638637e-292
6,dutch,2.5703772331383362e-297
7,dutch,5.537461430614305e-271
8,dutch,1.7109158983376186e-135
9,dutch,3.090466104257987e-5
10,dutch,1.2257260304378699e-279
1,duti,0.004461720546690577
2,duti,0.0028928340610780913
3,duti,0.001839008396987328
4,duti,2.1615735746950186e-4
5,duti,4.427183901910253e-4
6,duti,6.702409396074061e-5
7,duti,6.699185586170457e-4
8,duti,0.001961399624953457
9,duti,7.345699015548e-4
10,duti,3.636598175368301e-4
1,dwell,4.5453400818564184e-5
2,dwell,1.9815835138001356e-5
3,dwell,2.781591329015108e-4
4,dwell,7.475576279478533e-5
5,dwell,6.397850893806547e-5
6,dwell,7.461834710933574e-17
7,dwell,8.71166442253208e-5
8,dwell,1.0398660304368174e-4
9,dwell,2.9455310291336215e-9
10,dwell,4.1659640389602385e-181
1,dwelt,1.5636842019204895e-7
2,dwelt,2.2569712012910095e-5
3,dwelt,2.2476635026234823e-5
4,dwelt,9.190922418286936e-282
5,dwelt,8.725970554276211e-244
6,dwelt,3.2321811980330774e-294
7,dwelt,1.2814617859047634e-11
8,dwelt,1.1703421496376827e-4
9,dwelt,1.2020725425216016e-257
10,dwelt,8.679389952256455e-283
1,earl,4.817223339482902e-17
2,earl,2.2135443612100898e-5
3,earl,2.890439227459297e-295
4,earl,7.29185617e-316
5,earl,7.286236724835e-312
6,earl,1.14e-322
7,earl,1.2908463e-317
8,earl,8.514733208935e-312
9,earl,2.69073681e-315
10,earl,7.788487009339589e-308
1,earli,7.012890946262141e-4
2,earli,8.604115898153741e-4
3,earli,1.5310588029543188e-4
4,earli,6.555785016878185e-4
5,earli,1.0938105626154545e-4
6,earli,4.237459033570561e-4
7,earli,6.135691944434571e-4
8,earli,5.727141512817367e-4
9,earli,1.9421282284878052e-4
10,earli,0.0011537485474305321
1,earliest,2.0732402696194445e-4
2,earliest,1.6426619131911007e-4
3,earliest,8.426081537593997e-6
4,earliest,4.517622613713318e-19
5,earliest,2.0413765834462034e-4
6,earliest,1.199683364024435e-6
7,earliest,7.354853326279074e-5
8,earliest,1.0955170679341753e-4
9,earliest,1.850700766448072e-4
10,earliest,1.2217406985990845e-4
1,earnest,0.0010095244293598599
2,earnest,0.001008337411392877
3,earnest,0.0010867468623728877
4,earnest,2.7826192179380445e-162
5,earnest,8.531368378237894e-9
6,earnest,6.706073202086985e-5
7,earnest,1.595574862479574e-4
8,earnest,0.0011192213721978686
9,earnest,2.984171172202268e-4
10,earnest,5.9692167577030425e-6
1,easi,2.770269648385457e-4
